Time,Data
Timestamp,1013.23
Timestamp,1013.45
Timestamp,1013.43
Timestamp,1013.44
Timestamp,1013.44
Timestamp,1013.44
Timestamp,1013.44
Timestamp,1013.45
Timestamp,1013.45
Timestamp,1013.45
Timestamp,819.2
Timestamp,1013.47
Timestamp,1013.48
Timestamp,1013.46
Timestamp,1013.46
Timestamp,1013.46
Timestamp,1013.45
Timestamp,1013.46
Timestamp,1013.45
Timestamp,1013.45
Timestamp,1013.45
0x7fb32e91a8,1020.27
0x7fb32e91a8,1020.27
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.27
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.3
0x7fb32e91a8,1020.29
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.29
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.29
0x7fb32e91a8,1020.28
0x7fb32e91a8,1020.28
0x7f834b81a8,1020.26
0x7f834b81a8,1020.28
0x7f834b81a8,1020.28
0x7f834b81a8,1020.27
0x7f834b81a8,1020.27
0x7f834b81a8,1020.27
0x7f834b81a8,1020.27
0x7f834b81a8,1020.27
0x7f834b81a8,1020.27
0x7f834b81a8,1020.26
Fri Sep 15 08:26:31 2023
,1020.3
Fri Sep 15 08:26:32 2023
,1020.29
Fri Sep 15 08:26:32 2023
,1020.29
Fri Sep 15 08:26:32 2023
,1020.29
Fri Sep 15 08:26:32 2023
,1020.28
Fri Sep 15 08:26:32 2023
,1020.28
Fri Sep 15 08:26:32 2023
,1020.29
Fri Sep 15 08:26:32 2023
,1020.28
Fri Sep 15 08:26:33 2023
,1020.28
Fri Sep 15 08:26:33 2023
,1020.28
Fri Sep 15 08:26:33 2023
,1020.28
Fri Sep 15 08:26:33 2023
,1020.29
Fri Sep 15 08:26:33 2023
,1020.28
Fri Sep 15 08:26:33 2023
,1020.27
Fri Sep 15 08:26:33 2023
,1020.28
Fri Sep 15 08:26:34 2023
,1020.28
Fri Sep 15 08:26:34 2023
,1020.28
Fri Sep 15 08:26:34 2023
,1020.29
Fri Sep 15 08:26:34 2023
,1020.28
Fri Sep 15 08:26:34 2023
,1020.28
Fri Sep 15 09:00:27 2023
,1020.32
Fri Sep 15 09:00:27 2023
,1020.32
20,1020.36
20,1020.36
20,1020.37
20,1020.36
15/09/2023 09:06:14,1020.35
15/09/2023 09:06:14,1020.35
15/09/2023 09:06:14,1020.35
15/09/2023 09:06:14,1020.35
